sid,loam,pjm,ines,cala,calb,sta,stb,eca,ecb,ecmi,ecma,myba,mybb,imaca,imacb,claw,bula,bulb,fma,fmb,ivm,inse,insep,ivpm
SD980379 ,1,76,93,82,80,93,73,78,76,81,77,75,84,87,98,85,90,93,79,89,83,84,74,82
SD980380 ,0,0,62,73,44,60,9,63,35,60,1,65,0,71,65,66,67,40,60,1,18,60,0,0
SD980381 ,0,85,90,90,85,84,85,73,76,91,74,89,73,97,96,81,88,84,80,82,79,83,85,81
SD980382 ,0,73,77,67,23,63,7,62,60,74,50,71,62,83,60,69,79,84,71,64,57,68,70,61
SD980383 ,0,71,85,87,66,74,80,70,63,82,76,67,76,82,85,78,88,71,62,64,68,76,76,76
SD980384 ,0,69,86,82,68,60,62,69,67,75,60,79,77,96,84,81,81,84,73,64,69,75,79,66
SD980385 ,1,87,91,97,96,91,91,81,77,83,85,82,84,96,97,83,88,92,76,75,88,78,85,91
SD980386 ,1,62,65,60,35,43,34,60,68,66,60,66,66,89,70,83,81,87,60,61,64,67,75,52
SD980387 ,1,75,89,32,60,72,50,64,68,81,80,76,89,73,71,82,90,89,67,75,60,67,71,62
SD980388 ,0,72,88,67,60,61,67,63,63,75,82,75,86,68,77,68,85,84,60,63,79,86,75,75
SD980389 ,1,73,89,64,60,61,73,70,60,79,75,71,84,78,70,74,88,90,61,69,69,85,71,54
SD980390 ,1,74,90,96,83,90,97,77,82,93,79,82,88,99,98,84,90,94,84,83,86,83,68,61
SD980391 ,1,73,87,60,51,44,60,60,60,60,61,60,62,78,83,75,40,83,60,60,70,79,63,55
SD980392 ,0,80,92,90,90,82,82,62,73,81,74,78,69,86,86,74,87,90,78,78,79,81,80,77
SD980393 ,1,75,85,60,60,60,65,46,66,75,64,73,63,83,69,75,88,80,60,60,72,78,73,70
SD980394 ,1,75,91,93,90,90,90,73,77,94,82,71,90,84,96,72,88,94,80,82,83,82,85,79
