sid,loam,cala,calb,ec,pjm,oprs,pom,ac,iidm,mana,comap,apeci,mots,sta
SD1031233,0,64,69,65,74,63,72,80,78,81,62,86,50,60
SD1031234,0,84,73,82,78,63,65,75,93,87,87,76,78,86
SD1031235,1,71,65,87,100,88,99,75,92,90,100,77,72,98
SD1031236,0,72,60,74,90,63,61,75,78,60,69,65,71,60
SD1031237,0,78,60,80,95,78,82,80,96,78,80,78,73,89
SD1031238,1,94,78,76,100,98,99,70,92,81,79,62,86,90
SD1031239,0,77,64,73,100,92,97,88,92,86,85,80,86,95
SD1031240,0,70,71,77,96,78,62,99,81,78,83,81,81,80
SD1031242,0,76,63,70,100,93,69,75,88,83,80,82,80,87
SD1031243,1,49,71,97,97,88,81,80,81,89,65,73,82,72
SD1031244,1,67,64,86,91,45,77,99,80,85,67,78,72,70
SD1031245,1,80,65,90,91,74,96,99,90,91,66,71,76,73
SD1031246,0,75,60,98,60,62,69,99,90,70,62,71,73,86
SD1031247,0,65,61,69,65,45,75,70,80,67,62,67,65,60
SD1031248,0,65,63,77,91,62,74,93,93,78,62,70,63,75
SD1031249,1,87,74,94,90,81,80,90,89,94,73,87,64,88
SD1031250,1,70,72,93,77,68,89,99,91,93,65,60,53,82
SD1031251,0,49,68,71,91,80,63,99,86,83,60,80,71,78
SD1031252,1,82,79,63,93,87,70,70,83,73,69,60,68,71
SD1031253,0,77,65,77,77,67,66,82,91,77,60,68,69,74
SD1031254,1,93,76,78,100,75,84,99,82,77,64,63,77,76
SD1031255,1,96,86,96,80,87,86,90,90,86,87,87,86,89
SD1031256,1,94,92,81,100,97,99,99,91,96,79,88,86,98
SD1031257,1,49,70,39,65,62,74,80,84,60,67,68,70,64
SD1031258,1,87,82,91,100,93,78,97,92,90,80,84,74,88
SD1031259,1,90,79,86,100,98,81,82,91,85,81,83,81,84
SD1031260,0,86,61,60,91,91,71,99,84,82,60,79,72,74
SD1031261,0,80,60,81,70,63,66,75,80,45,60,61,60,60
SD1031262,0,86,85,64,98,83,61,70,83,74,82,74,75,81
SD1031263,0,67,71,82,100,92,90,99,94,94,90,81,80,92
SD1031264,1,85,83,83,100,90,79,99,99,82,79,73,86,88
SD1031265,0,76,67,88,80,67,82,99,90,83,66,71,75,82
SD1031266,1,49,60,67,65,45,65,92,91,85,67,76,66,74
SD1031267,0,76,77,80,65,80,75,99,88,82,61,74,71,78
SD1031268,0,49,60,68,60,0,65,70,78,66,60,61,45,60
SD1031269,0,80,61,67,84,63,74,75,86,77,75,75,72,88
SD1031270,1,87,81,89,67,70,60,99,89,71,72,62,63,60
SD1031272,0,77,77,89,100,96,82,63,77,88,77,0,85,89
