sid,loam,pjm,ines,cala,calb,sta,stb,ec,ecmi,ecma,apec,myba,mybb,imaca,imacb,claw,bula,bulb,fma,fmb,ivm,inse,insep,ivpm
SD990373 ,0,60,69,62,77,31,61,71,50,60,72,64,73,85,71,85,70,60,33,37,56,61,60,61
SD990374 ,0,67,78,82,60,78,73,86,68,68,62,81,73,73,70,79,80,85,66,75,78,68,60,69
SD990375 ,1,82,79,67,62,29,35,78,67,61,78,81,76,68,70,80,65,69,60,62,66,55,68,60
SD990376 ,1,61,79,52,50,27,14,77,70,42,60,72,55,62,69,82,55,94,60,24,67,61,53,53
SD990377 ,1,67,80,63,60,32,0,64,60,60,83,69,82,60,61,75,67,60,22,60,53,67,71,61
SD990378 ,1,0,83,87,35,64,69,87,76,64,88,70,71,79,82,79,80,78,71,77,85,79,0,0
SD990379 ,0,84,86,92,100,96,93,67,78,84,69,86,75,84,87,79,77,97,90,90,96,81,73,94
SD990380 ,0,75,88,92,80,70,75,95,68,71,61,79,71,84,87,87,70,90,73,75,77,77,73,77
SD990381 ,0,67,78,65,69,49,60,70,86,71,63,77,83,71,75,77,60,66,60,80,80,68,60,67
SD990382 ,0,0,0,82,68,60,0,71,60,1,53,70,0,65,67,68,57,1,64,1,0,0,0,0
SD990383 ,0,61,81,60,35,70,60,84,64,62,69,71,60,60,61,85,73,77,67,60,70,68,60,60
SD990386 ,0,89,89,99,99,98,95,81,96,97,77,86,73,93,94,89,86,97,91,100,97,88,85,96
SD990387 ,0,78,78,74,81,83,95,81,74,76,69,83,69,91,95,88,67,92,93,99,93,79,77,95
SD990388 ,1,87,85,97,97,75,76,87,69,80,61,83,65,78,85,90,89,94,84,76,97,82,85,93
