sid,mm,fm,ac,eebm,bswa,mwsm,mana,pom,hrm,esm,mads,adpjm,erem,sta,stb,ines,care,cala,calb,ec
SD1000572,NA,84,60,80,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1000573,70,70,90,99,75,84,67,61,80,70,88,92,68,85,72,90,72,69,89,76
SD1000574,72,50,60,89,53,75,60,63,77,72,88,60,67,65,62,82,80,71,69,77
SD1000575,73,60,60,93,25,72,55,77,78,76,90,92,61,50,64,85,80,74,91,65
SD1000576,69,66,98,99,74,88,60,60,81,73,90,89,67,88,87,80,86,92,99,93
SD1000577,70,60,92,93,79,94,60,70,73,71,85,89,69,66,71,81,80,76,76,61
SD1000578,77,71,70,99,81,85,55,31,83,66,97,89,66,68,64,80,82,60,61,60
SD1000579,84,77,94,99,88,97,66,88,93,77,95,95,74,94,92,87,91,90,100,83
SD1000580,61,61,70,77,73,67,56,84,79,72,90,82,60,74,66,79,81,60,68,61
SD1000581,63,30,77,80,70,76,60,67,68,70,90,77,64,72,50,85,68,77,77,70
SD1000582,66,60,91,99,71,85,62,76,72,69,85,86,64,91,81,81,72,76,93,62
SD1000583,76,73,86,98,63,86,64,72,90,71,95,95,71,77,60,90,74,74,83,95
SD1000584,68,80,92,99,85,90,66,88,89,77,90,92,70,74,72,92,88,74,93,77
SD1000585,71,72,86,99,85,80,60,83,80,73,92,94,71,86,86,83,87,82,93,65
SD1000586,64,60,74,84,79,77,65,60,81,72,88,84,62,78,70,75,78,82,72,72
SD1000587,68,60,75,99,79,74,60,72,74,64,95,87,69,61,50,75,80,60,66,61
SD1000588,60,70,72,99,76,75,62,60,78,74,92,92,71,80,69,75,85,79,83,70
SD1000589,83,64,81,99,73,87,62,60,78,74,92,93,70,68,69,83,85,64,91,60
SD1000590,66,60,63,77,68,78,55,68,61,68,90,79,62,63,50,83,71,64,84,66
SD1000591,70,54,62,72,96,89,60,36,30,NA,92,75,66,50,36,75,NA,60,60,50
SD1000592,77,73,82,99,93,91,62,66,85,NA,NA,NA,NA,77,50,NA,NA,80,78,85
SD1000593,78,67,82,99,60,87,70,37,79,63,96,86,73,61,78,88,82,60,70,66
SD1000594,78,62,83,85,86,87,60,43,82,67,98,88,61,69,74,89,74,64,75,71
SD1000595,63,66,78,99,79,83,60,68,66,73,90,86,64,81,50,87,86,73,82,69
SD1000596,73,68,88,99,62,63,55,60,67,66,90,81,60,50,61,74,80,67,75,65
SD1000597,66,70,79,88,70,64,60,77,73,75,90,88,69,71,62,90,77,64,90,63
SD1000598,84,71,93,99,90,90,60,69,76,77,88,90,78,91,92,86,84,88,99,62
SD1000599,NA,NA,88,NA,72,80,61,NA,NA,NA,NA,NA,NA,74,63,NA,NA,67,69,71
SD1000600,68,61,76,90,60,65,60,60,67,69,90,81,65,75,46,81,78,76,68,74
SD1000601,71,72,93,99,79,82,61,72,85,74,86,95,63,78,74,66,81,68,85,60
SD1000602,70,80,85,78,70,86,64,72,89,70,95,89,70,79,77,88,78,90,87,73
SD1000603,61,60,71,62,73,82,60,60,67,71,88,87,66,43,50,85,69,60,60,68
SD1000604,75,74,92,99,72,87,64,61,87,73,90,95,69,81,89,81,74,93,97,76
SD1000605,84,74,84,99,74,96,66,63,84,69,92,91,67,50,64,89,80,67,82,77
SD1000606,55,66,80,84,69,60,60,40,87,70,98,89,63,70,73,89,73,63,79,60
SD1000607,72,60,79,86,73,61,60,66,77,68,90,84,70,81,71,88,83,70,73,82
SD1000608,78,70,86,87,93,84,70,67,61,74,96,86,68,79,65,90,72,86,88,83
SD1000609,68,64,93,84,68,83,64,73,82,72,90,86,65,83,70,81,78,82,84,85
SD1000610,82,75,84,99,60,75,65,83,85,74,97,93,74,86,93,83,77,82,97,78
SD1000611,72,74,98,99,89,85,66,84,81,73,90,92,66,91,92,89,73,90,95,91
SD1000612,68,60,61,90,21,60,50,64,61,60,80,60,60,50,63,74,60,60,60,47
SD1000613,65,70,88,94,82,80,60,72,89,68,92,82,73,83,70,88,82,63,86,75
SD1000614,54,72,87,87,81,90,63,28,83,63,96,89,70,73,70,85,75,80,68,68
SD1000615,NA,NA,63,NA,52,60,62,NA,NA,NA,NA,NA,NA,50,37,NA,NA,74,27,65
SD1000616,77,74,92,99,95,93,66,60,83,74,92,90,71,80,90,90,86,90,95,88
SD1000617,72,70,75,99,65,71,61,75,77,64,88,89,66,60,62,77,79,65,81,60
SD1000618,80,77,91,99,75,88,67,65,84,75,90,93,73,82,89,84,88,88,93,88
SD1000619,69,76,88,99,74,93,61,63,86,73,90,94,61,78,75,82,61,66,72,69
SD1000620,65,70,74,95,80,80,56,71,85,65,88,84,72,50,50,76,66,65,71,64
SD1000621,74,80,76,99,71,94,60,37,84,68,96,95,71,50,61,85,69,75,85,61
SD1000622,NA,NA,74,NA,60,35,60,NA,NA,NA,NA,NA,NA,50,46,NA,NA,60,22,60
SD1000623,77,76,70,99,60,71,60,60,83,72,93,94,64,50,68,81,60,71,79,63
SD1000624,71,70,90,99,77,83,66,71,73,77,91,95,70,83,73,82,68,76,72,66
SD1000625,1,15,90,64,21,60,55,10,29,NA,NA,NA,NA,47,35,NA,NA,63,60,60
SD1000626,74,72,90,87,66,77,55,63,82,81,85,84,69,80,77,82,83,82,94,63
SD1000627,67,71,82,99,55,70,55,65,82,73,95,95,64,67,64,92,63,74,82,50
SD1000628,65,80,92,99,84,88,66,88,84,76,90,92,75,81,82,92,88,87,86,69
SD1000629,74,66,92,99,81,84,65,74,82,73,88,92,64,76,74,82,73,74,75,79
SD1000630,86,NA,NA,NA,NA,NA,NA,NA,85,66,NA,NA,64,NA,NA,80,NA,NA,NA,NA
SD1000631,86,NA,NA,NA,NA,NA,NA,NA,85,68,NA,NA,69,NA,NA,80,NA,NA,NA,NA
SD1000632,84,NA,NA,NA,NA,NA,NA,NA,85,60,NA,NA,65,NA,NA,80,NA,NA,NA,NA
SD1000633,69,60,70,61,65,85,60,60,61,66,88,88,60,60,66,69,74,66,73,60
SD1000634,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,88,88,61,NA,NA,NA,27,2,60,NA
SD1000635,NA,64,69,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1000738,74,70,NA,61,NA,NA,NA,NA,61,77,88,86,69,NA,69,87,77,67,60,85
SD1000739,73,63,NA,NA,84,NA,NA,NA,61,72,88,88,64,NA,50,88,77,60,60,80
