sid,ines,care,cala,calb,ec,eitba,eitbb,ebcmm,eortr,eci,maec,apeci,sta,stb,mana,mm,itmt,itmtr,itbsm,prittda,prittdb,gmktm,erplab,aca,acb,fm,itmfi
SD1010762,22,60,68,67,55,55,75,NA,75,70,61,76,19,87,85,72,74,75,87,76,40,46,NA,44,60,60,50
SD1010763,62,81,71,93,72,70,75,72,72,88,74,74,73,77,92,73,82,74,69,75,60,81,72,61,60,60,78
SD1010764,67,85,73,89,66,71,79,78,74,80,71,79,66,87,87,64,84,80,84,82,65,82,71,70,60,65,84
SD1010765,71,87,63,69,75,70,79,72,80,78,60,83,62,83,90,77,89,76,81,84,77,75,90,67,43,61,68
SD1010766,81,85,64,83,75,77,79,77,80,82,60,79,63,81,85,68,87,80,86,79,75,77,85,67,60,85,76
SD1010767,90,76,80,81,80,75,75,64,66,73,63,72,49,87,85,60,85,80,81,79,65,81,72,60,40,62,60
SD1010768,74,82,87,89,72,55,89,72,79,79,71,76,41,85,81,81,82,82,81,88,65,83,75,61,43,60,80
SD1010769,60,79,67,90,64,70,84,83,71,72,79,71,60,89,86,66,87,73,92,72,70,68,76,70,60,75,80
SD1010770,96,84,86,94,86,88,90,88,87,91,69,86,66,96,88,94,92,87,99,92,85,85,97,71,62,100,95
SD1010771,NA,NA,70,37,67,NA,NA,NA,NA,NA,50,NA,NA,NA,86,35,NA,NA,NA,NA,NA,NA,NA,60,29,NA,NA
SD1010772,60,73,65,90,55,65,81,78,82,78,74,80,75,68,88,69,93,72,60,82,73,74,70,49,60,32,60
SD1010773,60,76,60,71,45,55,75,69,66,65,74,69,50,60,86,70,74,70,72,60,60,73,70,39,60,60,50
SD1010774,75,72,69,88,82,60,82,79,80,68,52,81,44,79,88,80,71,85,74,72,64,60,73,60,64,60,74
SD1010775,64,82,65,85,65,55,80,60,60,76,52,80,40,77,87,76,73,78,72,82,65,79,68,60,60,61,60
SD1010776,NA,NA,30,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
SD1010777,94,79,85,66,60,71,83,77,84,81,67,83,89,94,89,78,89,78,96,82,74,79,82,70,60,77,69
SD1010786,NA,NA,87,24,0,NA,NA,NA,74,NA,24,NA,51,0,71,9,85,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
SD1010787,67,NA,90,66,NA,56,80,67,86,NA,NA,NA,74,69,NA,NA,92,78,69,82,60,77,65,NA,NA,62,83
SD1010788,78,79,NA,77,NA,56,85,79,78,80,NA,86,NA,76,NA,83,81,82,100,90,65,67,84,NA,NA,93,73
SD1010790,87,NA,92,91,86,91,NA,NA,85,71,81,81,NA,NA,85,78,87,NA,NA,NA,NA,NA,NA,65,67,81,NA
SD1010791,NA,NA,60,69,61,NA,NA,NA,68,65,71,NA,NA,NA,62,91,81,NA,NA,NA,NA,NA,NA,30,60,NA,NA
SD1010792,96,94,60,73,88,92,88,86,93,84,94,96,87,60,91,90,94,84,91,85,72,100,85,60,61,73,70
SD1010793,96,91,85,79,86,90,88,83,88,92,89,86,85,60,91,96,90,90,90,88,72,94,93,60,64,80,80
SD1010794,1,1,66,26,71,50,0,NA,60,78,63,NA,60,NA,60,0,15,1,40,1,1,0,NA,43,20,NA,1
SD1010795,96,91,100,100,92,78,80,75,86,93,95,92,94,66,91,95,94,88,80,90,66,78,86,50,74,77,61
SD1010796,96,84,63,67,91,74,81,83,83,86,84,85,80,82,89,76,67,88,69,90,80,95,90,60,60,93,83
SD1010797,79,69,76,70,81,74,80,74,70,71,71,66,73,35,87,60,71,80,65,70,65,72,82,60,60,43,76
SD1010798,96,94,86,100,94,82,83,90,92,89,89,96,93,93,91,94,94,88,93,92,90,100,93,75,77,93,82
SD1010799,60,73,84,88,77,55,73,85,76,37,75,68,60,60,80,50,37,66,73,80,66,74,72,64,39,40,65
SD1010800,91,87,85,70,85,78,80,78,80,81,86,91,81,60,87,90,77,82,94,86,82,93,86,74,60,86,78
SD1010801,97,93,87,91,90,78,80,89,89,94,94,89,92,87,88,99,86,88,85,92,86,100,90,73,84,100,96
SD1010802,74,NA,77,76,78,80,NA,NA,71,NA,81,65,NA,17,89,65,63,NA,NA,NA,NA,NA,NA,60,60,33,NA
SD1010803,80,78,73,79,77,71,80,66,69,70,66,79,62,60,92,50,75,74,75,78,66,80,80,60,41,61,68
SD1010804,70,76,75,89,75,55,75,79,80,60,72,74,67,60,61,60,32,70,68,72,65,78,72,65,43,61,60
SD1010805,96,91,86,73,90,86,81,77,79,81,95,92,75,74,89,70,74,84,78,90,86,100,86,66,72,87,63
SD1010806,70,73,76,77,73,74,75,71,73,71,69,86,62,20,78,50,65,74,77,76,66,64,72,60,33,62,60
SD1010807,96,93,100,94,91,83,85,79,91,86,78,90,99,93,87,80,95,86,87,88,88,100,92,93,68,94,100
SD1010808,95,83,73,72,77,72,77,60,81,80,78,87,85,63,80,96,62,84,78,78,70,76,65,60,60,61,60
SD1010809,79,93,90,98,81,80,80,73,74,96,97,95,85,90,91,99,87,88,84,90,76,100,92,63,70,93,77
SD1010810,89,78,79,88,80,75,80,84,80,67,73,70,74,60,85,71,72,78,62,75,61,70,82,48,60,62,65
SD1010811,NA,NA,79,81,86,NA,NA,NA,NA,NA,92,NA,NA,NA,88,89,NA,NA,NA,NA,NA,NA,NA,88,65,NA,NA
SD1010813,91,94,78,92,86,88,85,87,87,90,95,88,98,95,89,97,78,87,86,90,95,100,92,70,70,100,96
SD1010814,95,84,67,81,81,55,83,66,76,71,81,76,62,65,86,79,63,80,74,78,65,74,75,37,39,60,60
SD1010815,94,91,72,89,85,71,80,66,72,75,90,85,82,67,84,88,63,78,72,82,63,84,71,60,60,69,98
SD1010816,89,89,95,100,92,72,80,83,86,95,91,98,100,95,90,97,88,92,79,90,83,97,86,99,95,100,86
SD1010817,63,87,60,77,81,55,80,72,78,72,73,66,60,8,85,64,71,74,64,76,62,78,65,65,60,29,77
SD1010818,66,81,69,60,76,55,76,69,78,75,75,87,70,61,78,60,62,82,63,82,61,74,83,70,68,78,86
SD1010819,68,88,47,80,97,70,73,60,63,70,81,76,80,72,82,50,69,75,63,73,60,85,65,40,34,60,81
SD1010820,70,73,76,84,72,55,71,71,80,60,76,74,70,60,66,50,32,74,65,78,60,76,72,60,39,60,62
SD1010821,90,72,79,88,82,70,81,67,81,74,80,78,76,60,85,72,66,85,74,84,65,73,74,32,60,68,67
SD1010822,90,68,71,83,72,65,55,NA,67,72,72,78,60,60,70,72,18,84,60,82,60,42,NA,60,36,60,1
SD1010823,85,80,60,81,72,66,71,64,66,71,77,77,74,60,90,83,67,70,67,78,72,94,80,60,73,80,82
SD1010824,70,69,72,68,75,78,80,NA,78,71,76,75,64,60,82,60,72,82,77,72,67,70,NA,46,39,60,65
SD1010825,74,72,60,82,85,70,76,73,70,74,71,75,70,60,84,60,62,80,62,72,65,73,80,60,62,62,70
SD1010826,85,86,83,83,85,74,76,72,80,80,81,83,70,62,65,86,52,75,75,76,62,72,75,60,60,60,65
SD1010827,77,88,73,81,80,70,79,70,75,76,90,64,61,60,62,81,63,78,68,82,69,81,75,60,60,60,80
SD1010828,70,73,79,96,77,81,84,NA,85,71,78,74,66,60,84,60,77,78,75,73,65,71,NA,45,60,61,68
SD1010829,92,88,82,84,77,74,77,75,84,84,89,86,76,65,84,89,62,80,70,78,76,90,77,60,60,71,73
SD1010830,NA,NA,92,87,87,NA,NA,NA,NA,NA,88,NA,NA,NA,89,82,NA,NA,NA,NA,NA,NA,NA,67,60,NA,NA
SD1010831,91,91,94,86,93,71,81,81,74,84,88,89,95,86,87,93,66,84,72,90,85,100,84,71,72,100,96
SD1010832,60,69,75,82,76,66,75,80,73,43,68,72,69,60,48,70,40,70,62,70,62,74,77,60,30,37,76
SD1010833,92,91,72,67,89,76,81,85,85,93,93,91,82,74,88,93,88,86,85,88,82,99,86,63,60,98,98
SD1010834,68,86,67,75,82,75,84,81,81,82,70,86,84,75,89,86,83,78,85,88,75,100,84,60,70,76,79
SD1010835,85,75,63,79,78,73,79,80,70,36,75,74,87,60,82,91,71,82,64,70,70,78,80,48,47,29,68
SD1010836,96,94,91,88,91,73,79,70,70,89,91,97,95,91,88,95,75,88,81,90,82,100,91,76,65,98,99
SD1010837,96,93,69,78,87,88,90,86,81,96,87,89,86,88,85,91,85,88,86,87,88,100,88,66,76,97,92
SD1010838,84,84,69,69,86,75,80,64,65,85,78,88,76,72,88,74,74,74,82,83,74,86,86,64,64,80,82
SD1010839,68,91,66,73,71,55,82,72,78,72,80,68,66,4,89,50,60,70,60,72,60,72,68,60,30,31,60
SD1010840,90,89,73,66,84,77,80,75,78,92,93,89,87,89,87,98,85,88,76,90,65,98,88,60,60,94,93
SD1010841,96,94,75,77,83,88,86,83,85,83,96,82,66,74,92,92,89,90,86,92,80,100,98,61,75,72,70
SD1010842,92,88,68,62,80,69,75,73,75,82,87,81,76,60,84,64,72,78,65,82,71,92,81,60,60,76,83
SD1010852,91,83,77,28,NA,75,NA,75,72,NA,65,69,NA,60,NA,NA,NA,83,NA,84,75,84,88,NA,NA,60,67
SD1010854,73,80,NA,NA,NA,67,75,60,54,70,NA,70,61,13,NA,78,67,74,60,70,70,72,88,NA,NA,42,60
SD1010855,63,84,NA,NA,NA,40,76,25,53,65,NA,65,60,1,NA,71,66,70,60,72,60,68,66,NA,NA,25,60
SD1010856,63,81,NA,NA,NA,40,72,50,0,NA,NA,NA,NA,NA,NA,NA,60,70,30,72,60,44,65,NA,NA,NA,60
SD1011143,67,73,83,75,86,40,69,67,68,80,NA,NA,NA,NA,NA,NA,67,74,60,75,65,71,84,NA,NA,NA,60
SD1011175,65,73,NA,NA,NA,55,72,65,63,60,NA,60,NA,NA,NA,NA,75,78,66,60,60,76,78,NA,NA,NA,50
SD1011249,67,76,74,60,76,55,84,86,80,80,NA,NA,NA,NA,NA,77,86,74,67,78,60,72,91,NA,NA,NA,65
SD1011349,74,79,78,69,77,56,81,66,65,85,73,NA,NA,90,NA,92,85,84,88,84,77,79,79,NA,71,78,60
