sid,itdc,mana,eci,buetc,eitba,eitbb,ebcmm,eca,ecb,ecmi,ecma,cala,calb,sta,stb,apeci,mm,gmktm,itbsm,claw,prittd,mbinf,itmtr,aca,acb,fm,itmfi
SD970250 ,89,98,86,84,74,76,75,77,65,80,68,95,96,97,88,92,93,91,79,86,88,85,95,74,78,82,95
SD970251 ,85,85,85,NA,82,82,80,62,66,81,80,90,92,82,81,85,89,86,76,76,77,76,85,62,68,80,97
SD970252 ,91,71,74,84,69,84,75,67,60,64,60,92,90,70,69,60,85,85,73,71,71,79,82,60,60,43,95
SD970254 ,75,78,65,NA,63,60,62,73,60,69,60,90,82,62,60,74,82,84,61,83,60,65,78,76,60,39,89
SD970255 ,92,81,83,83,74,76,83,67,67,89,60,98,94,90,85,85,93,92,85,88,90,95,90,94,94,82,95
SD970256 ,95,97,81,84,74,78,87,76,70,90,78,98,95,100,93,84,94,92,92,87,85,91,85,87,93,89,96
SD970257 ,90,60,79,NA,64,60,71,68,60,52,60,77,80,60,27,82,87,84,60,82,67,71,68,60,60,32,94
SD970258 ,96,92,77,85,79,78,81,70,60,89,81,91,96,87,93,86,93,92,92,79,80,87,92,60,70,83,98
SD970259 ,86,60,39,NA,NA,NA,NA,62,60,52,NA,92,92,38,NA,NA,60,NA,NA,79,NA,NA,NA,67,71,NA,NA
SD970260 ,97,73,77,86,73,76,78,65,60,63,60,94,90,84,73,78,89,90,84,84,76,75,82,75,72,60,95
SD970261 ,94,67,NA,NA,NA,NA,NA,67,62,NA,NA,89,90,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,60,66,NA,NA
SD970262 ,86,93,83,86,70,76,88,68,73,84,60,94,95,86,87,80,88,92,84,92,86,91,85,88,94,60,98
SD970263 ,74,66,60,NA,47,NA,NA,62,60,60,35,89,89,47,17,39,85,NA,63,83,60,NA,1,60,60,38,NA
SD970264 ,95,72,69,84,60,67,74,73,63,69,84,92,98,79,80,73,88,83,69,84,70,79,71,68,69,63,90
SD970265 ,94,91,82,NA,68,62,71,77,75,87,95,95,95,89,87,86,93,91,65,86,76,69,91,75,78,80,97
SD970266 ,80,60,60,81,67,64,83,60,48,46,60,70,81,28,60,72,60,70,78,71,60,63,68,60,60,60,89
SD970267 ,92,66,76,86,63,80,72,76,60,62,90,94,86,60,74,79,88,69,81,84,67,68,88,60,60,61,86
SD970268 ,90,88,69,85,85,91,83,70,66,73,80,94,97,91,95,75,89,92,93,83,92,93,96,72,78,78,95
SD970269 ,94,68,65,84,83,82,80,74,60,82,60,93,92,83,87,78,90,67,91,88,90,70,88,77,62,74,91
SD970270 ,76,62,52,70,61,60,69,61,60,69,80,97,80,63,42,76,85,80,70,84,62,80,73,60,60,32,88
SD970271 ,95,84,76,86,84,87,91,75,71,71,73,89,93,83,86,85,91,89,90,89,78,76,91,60,78,79,97
SD970272 ,95,81,79,84,89,94,92,80,70,85,83,92,98,100,99,79,84,64,82,74,90,75,93,76,92,85,98
SD970273 ,92,81,NA,NA,NA,NA,NA,84,69,NA,NA,90,87,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,80,85,NA,NA
