sid,ines,care,cala,calb,ec,quma,oprs,lgma,pom,erp,ac,iidm,fypl,mana,comap,apeci,mots,hufa,adpjm,sta,stb
SD1000911,90,92,95,74,73,76,97,80,70,72,71,93,74,79,89,100,79,81,75,86,93
SD1000912,84,86,60,60,75,50,30,68,50,60,60,66,60,76,67,82,30,66,90,60,29
SD1000913,79,86,60,60,80,45,61,53,66,60,39,70,68,76,65,67,79,60,64,86,76
SD1000914,77,84,83,60,74,63,94,86,70,61,60,72,73,75,84,60,74,71,86,70,91
SD1000915,89,NA,90,61,84,80,81,85,86,NA,66,92,NA,71,72,81,69,80,85,83,89
SD1000916,75,88,88,71,74,86,75,64,92,60,78,76,60,68,92,82,62,16,89,82,45
SD1000917,90,90,95,76,80,85,97,89,72,83,65,86,78,84,96,100,75,80,100,89,95
SD1000918,80,90,88,63,77,75,78,90,85,71,39,80,73,69,82,65,75,79,88,95,83
SD1000919,68,1,78,70,74,45,64,1,50,66,61,60,60,60,77,65,1,60,60,30,86
SD1000920,78,92,62,60,77,60,75,84,68,72,61,78,69,82,83,95,68,69,90,87,80
SD1000921,77,82,73,60,68,60,78,81,70,64,61,65,75,78,81,89,74,81,79,87,89
SD1000922,89,90,70,64,84,85,94,80,87,75,85,86,80,84,83,99,70,83,81,97,92
SD1000923,91,82,60,48,80,65,78,87,75,60,63,66,64,60,85,73,61,80,86,80,77
SD1000924,77,87,67,44,75,62,78,82,82,60,61,60,78,71,65,71,77,73,80,70,80
SD1000925,74,83,45,23,86,60,30,64,60,60,76,80,60,63,61,84,61,48,60,62,30
SD1000926,81,85,74,60,89,72,77,92,60,74,76,82,82,80,85,87,75,65,89,78,70
SD1000927,NA,NA,60,24,81,NA,NA,NA,NA,NA,45,44,NA,5,61,39,NA,NA,NA,NA,NA
SD1000928,79,85,81,34,86,65,86,88,72,76,86,71,73,66,71,53,68,78,60,81,81
SD1000929,78,85,62,62,85,63,68,80,73,80,72,65,78,69,85,78,76,70,97,80,95
SD1000930,88,85,65,62,81,66,94,86,73,74,72,76,91,70,78,86,77,69,100,88,95
SD1000931,NA,NA,90,93,94,NA,NA,NA,NA,NA,90,82,NA,78,77,88,NA,NA,NA,NA,NA
SD1000932,79,85,72,50,70,62,81,78,60,60,60,65,70,73,64,63,67,71,95,80,86
SD1000933,NA,NA,85,63,93,NA,NA,NA,NA,NA,73,76,NA,84,76,87,NA,NA,NA,NA,NA
SD1000934,83,88,74,45,91,75,61,81,82,73,91,72,88,73,80,89,75,77,100,65,72
SD1000935,75,85,79,60,89,60,61,79,60,70,99,88,83,73,88,96,81,50,70,69,63
SD1000936,84,NA,64,65,68,NA,62,78,93,NA,88,82,NA,83,75,90,75,87,NA,83,83
SD1000937,NA,NA,10,20,60,NA,NA,NA,NA,NA,40,46,NA,24,42,44,NA,NA,NA,NA,NA
SD1000938,77,NA,78,60,81,65,98,91,80,NA,81,84,NA,69,67,88,85,70,60,74,70
SD1000939,65,85,NA,NA,NA,50,30,70,67,60,NA,NA,67,NA,NA,71,65,15,60,60,10
SD1000940,NA,NA,NA,NA,60,NA,1,NA,37,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,40,NA
SD1000941,NA,NA,NA,NA,NA,1,30,NA,15,NA,NA,NA,NA,NA,NA,NA,1,15,NA,10,2
SD1000942,NA,84,NA,48,NA,NA,NA,NA,NA,62,NA,NA,60,NA,NA,NA,NA,NA,80,NA,NA
SD1000943,85,85,NA,15,NA,60,72,70,60,64,99,93,60,NA,75,NA,77,73,80,NA,88
SD1000944,85,88,NA,NA,71,60,60,73,68,76,65,84,83,79,NA,68,60,50,77,82,85
SD1001004,70,88,NA,NA,73,80,62,90,67,77,65,80,71,81,NA,66,75,61,89,81,67
