acyr,semr,sid,loam
98,1,SD970470 ,44290
98,1,SD970471 ,44290
98,1,SD970475 ,44290
98,1,SD970477 ,26679
98,1,SD970482 ,44290
98,1,SD970487 ,44290
98,1,SD970488 ,44290
98,1,SD970494 ,44290
98,1,SD970495 ,44290
98,1,SD970504 ,44290
98,1,SD970508 ,44290
98,1,SD970509 ,44290
98,1,SD970512 ,44290
98,1,SD970522 ,44290
98,1,SD970529 ,44290
98,1,SD970533 ,44290
98,1,SD970534 ,44290
98,1,SD970543 ,44290
98,1,SD970544 ,44290
98,1,SD970547 ,44290
98,1,SD970549 ,44290
98,1,SD970550 ,44290
98,1,SD970556 ,44290
98,1,SD970563 ,45165
98,1,SD970566 ,45165
98,1,SD970567 ,45165
98,1,SD970568 ,45165
98,1,SD970570 ,45165
98,1,SD970574 ,45165
98,1,SD970575 ,45165
98,1,SD970576 ,45165
98,1,SD970580 ,60065
98,1,SD970581 ,45165
98,1,SD970582 ,45165
98,1,SD970584 ,45165
98,1,SD970588 ,45165
98,1,SD970594 ,45165
98,1,SD970598 ,45165
98,1,SD970608 ,45165
98,1,SD970609 ,45165
98,1,SD970611 ,45165
98,1,SD970612 ,18749
98,1,SD970613 ,60065
98,1,SD970623 ,45165
98,1,SD970626 ,45165
98,1,SD970627 ,45165
98,1,SD970629 ,45165
98,1,SD970637 ,45165
98,1,SD970638 ,45165
98,1,SD970639 ,45165
98,1,SD970643 ,45165
98,1,SD970647 ,48165
98,1,SD970649 ,45165
98,1,SD970651 ,45165
98,1,SD970654 ,45165
98,1,SD970658 ,45165
98,1,SD970670 ,48165
98,1,SD970673 ,45165
98,1,SD970680 ,45165
98,1,SD970681 ,45165
98,1,SD970683 ,45165
98,1,SD970684 ,45165
98,1,SD970686 ,45165
98,1,SD970689 ,45165
98,1,SD970693 ,45165
98,1,SD970699 ,45165
98,1,SD970702 ,45165
98,1,SD970703 ,45165
98,1,SD970705 ,45165
98,1,SD970708 ,45165
98,1,SD970709 ,45165
98,1,SD970714 ,45165
98,1,SD970719 ,45165
98,1,SD970725 ,45165
98,1,SD970728 ,45165
98,1,SD970730 ,45165
98,1,SD970731 ,56165
98,1,SD970733 ,45165
98,1,SD970735 ,45165
98,1,SD970736 ,45165
98,1,SD970741 ,44290
98,1,SD970745 ,44290
98,1,SD970746 ,44290
98,1,SD970751 ,44290
98,1,SD970752 ,44290
98,1,SD970757 ,44290
98,1,SD970759 ,44290
98,1,SD970761 ,44290
98,1,SD970763 ,44290
98,1,SD970777 ,44290
98,1,SD970781 ,44290
98,1,SD970782 ,44290
98,1,SD970783 ,44290
98,1,SD970787 ,44290
98,1,SD970788 ,44290
98,1,SD970790 ,44290
98,1,SD970796 ,52290
98,1,SD970800 ,44290
98,1,SD970802 ,52290
98,1,SD970805 ,44290
98,1,SD970807 ,44290
98,1,SD970810 ,44290
98,1,SD970821 ,44290
98,1,SD970822 ,44290
98,1,SD970831 ,44290
98,1,SD970833 ,44290
98,1,SD970837 ,44290
98,1,SD970838 ,44290
98,1,SD970839 ,44290
98,1,SD970842 ,59190
98,1,SD970844 ,44290
98,1,SD970845 ,47290
98,1,SD970856 ,53290
98,2,SD970225 ,56190
98,2,SD970226 ,44290
98,2,SD970232 ,44290
98,2,SD970233 ,9290
98,2,SD970242 ,44290
98,2,SD970243 ,44290
98,2,SD970244 ,56190
98,2,SD970245 ,56190
98,2,SD970246 ,44290
98,2,SD970249 ,44290
98,2,SD970251 ,44290
98,2,SD970256 ,17290
98,2,SD970258 ,27290
98,2,SD970262 ,9290
98,2,SD970264 ,47290
98,2,SD970268 ,44290
98,2,SD970270 ,44290
98,2,SD970275 ,59190
